time,cpu,memory,syscall_read,syscall_write,net_receive,net_send,net_latency,run_time,action,success
2024-09-27 04:43:28,58.9226,49.5951,30662.6667,3653.1415,32.5,36.1,0.074,0.0017,NoOps,1
2024-09-27 04:49:55,9.9489,59.6094,1166.6667,1098.6667,43.6333,47.3333,2.0849,0.4647049395732996,Rollback,1
2024-09-27 04:58:35,99.9208,69.7005,932.0,1997.3333,44.1667,47.9333,0.9623,1.076622936378198,Restart,1
2024-09-27 05:07:36,3.4275,87.8789,366.6667,1342.6667,31.3,25.9667,1.8894,3.556165221431096,Restart,1
2024-09-27 05:16:28,5.938,71.3607,1153.3333,2140.0,39.2,42.6,2.0786,1.0243549054801528,Restart,1
2024-09-27 05:25:36,8.4228,64.0208,1145.3333,2005.3333,63.6667,65.8333,1.8222,0.9309823651565875,Restart,1
2024-09-27 05:34:23,100.08,65.3893,1012.0,2132.0,77.8667,89.2333,0.9423,1.0582324551950877,Restart,1
2024-09-27 05:43:13,5.2362,64.4336,404.0,1512.0,28.8667,27.8333,1.1929,0.24192157529076672,Migrate,1
2024-09-27 05:52:36,6.9981,66.6198,1156.0,2053.3333,52.6667,55.4667,1.9422,1.0572526031126137,Migrate,1
2024-09-27 17:26:16,77.5958,54.2839,29273.3333,2625.3333,54.0667,55.3,1.225,0.002,Rollback,1
2024-09-27 17:36:19,43.4756,68.168,1166.6667,2170.6667,26.7333,27.4333,1.931,1.0188191589238516,Restart,1
2024-09-27 18:02:13,5.2069,69.6862,1152.0,2140.0,71.0333,86.7,2.1406,1.231976909330999,Migrate,1
2024-09-28 20:10:56,88.1861,50.8307,26698.6667,2552.0,61.6333,63.6333,1.5029,0.0019,Rollback,1
2024-09-28 20:20:14,4.1435,69.0247,1199.88,2078.4588,42.7333,45.0,1.94,1.4713104207604748,Migrate,1
2024-09-28 20:29:36,99.9422,70.7721,988.0,2120.0,72.9333,80.9,0.957,1.040096723594747,Restart,1
2024-09-28 20:38:53,10.5971,66.3307,462.6667,1576.0,54.3333,53.9333,1.4406,0.8656524832725662,Migrate,1
2024-09-28 20:48:36,7.0399,68.737,1172.0,2013.3333,54.8333,56.9333,1.9656,0.5830693623981799,Migrate,1
2024-09-29 10:03:28,4.0739,75.4466,1096.0,1969.3333,50.5667,54.1,2.2562,1.2333619512514198,Restart,1
2024-09-29 10:13:29,48.4969,66.3229,449.3333,1565.3333,36.3,37.2333,1.6214,0.5576462406852988,Restart,1
2024-09-29 10:23:15,99.9446,75.5729,968.0,2069.3333,55.0667,63.7333,0.9227,0.7453035470014095,Migrate,1
2024-09-29 11:50:40,4.7957,67.5833,1189.3333,2192.0,49.0333,53.7,2.0829,1.1232509185525479,Migrate,1
2024-09-29 12:00:54,4.8394,70.4857,513.3333,1598.6667,68.0667,62.0333,1.5834,0.9163695741551815,Restart,0
2024-09-29 12:11:11,100.0867,77.6094,914.6667,1985.3333,47.6333,56.2333,0.9198,0.25433963565906553,Migrate,1
2024-10-01 00:07:24,96.3918,56.9388,30536.0,3716.809,53.5333,61.8667,0.9429,0.002,Rollback,1
2024-10-01 00:17:09,32.0036,62.8086,1193.3333,2109.3333,57.0,65.9667,1.925,1.0481990467259632,Restart,0
2024-10-01 00:27:05,100.1355,75.3411,985.3333,2050.6667,28.4,32.0333,0.9611,1.0234572147758405,Restart,1
2024-10-01 00:37:09,4.6743,67.4987,373.3333,1482.6667,32.6333,31.9,1.8464,0.5185732613253737,Restart,1
2024-10-01 00:47:05,6.6292,67.8151,1176.0,2062.6667,32.4333,35.9667,1.786,0.24513240367654435,Restart,1
2024-10-02 04:23:52,66.4531,54.3164,19969.3333,1114.6667,56.1333,58.5667,1.05,0.002,Rollback,0
2024-10-02 04:33:41,4.6082,66.6042,1162.6667,2089.3333,48.6667,62.4333,1.9774,1.0690564940726022,Restart,1
2024-10-02 04:44:19,99.9256,69.875,968.0,2096.0,56.6,66.1333,0.9333,1.0410012015755614,Migrate,1
2024-10-02 04:54:11,28.938,67.2214,414.6667,1430.6667,49.6667,49.4,2.125,0.15992882912997644,Migrate,0
2024-10-02 05:04:15,20.0879,65.8971,1154.6667,2028.0,42.0667,49.8333,1.7962,0.5527252081636863,Restart,0
2024-10-03 06:23:57,79.4308,54.0169,24196.0,1564.0,39.5667,45.0667,1.6088,0.002,Rollback,0
2024-10-03 06:33:50,13.8655,65.1185,1160.0,1994.6667,60.2333,66.6667,1.7091,0.48699295501593465,Restart,1
2024-10-03 06:44:03,99.8696,79.4635,900.0,1940.0,48.9333,56.2667,0.9326,1.2106364774391989,Migrate,0
2024-10-03 06:54:10,14.4998,65.1576,396.0,1568.0,26.0,25.5667,1.225,0.16240935932929296,Restart,0
2024-10-03 07:04:32,11.6872,65.8138,1165.3333,2048.0,69.2667,79.7,1.6857,0.7154974455000371,Migrate,0
2024-10-03 21:06:37,3.5303,79.7031,2449.3333,9517.3333,34.3667,31.7,0.0984,1.1075281617431678,NoOps,1
2024-10-03 21:10:21,22.4666,71.2526,2680.0,11829.3333,229.0333,225.7333,0.092,1.260483163952126,NoOps,1
2024-10-04 16:33:12,80.7947,73.3138,2186.6667,12924.0,422.7,469.5333,0.7986,0.16470308448540538,Flow-Control,1
2024-10-04 16:49:48,12.1668,64.6589,1328.0,2725.3333,26.7667,25.1,0.3542,0.9745684309214215,Flow-Control,1
2024-10-04 22:25:09,12.2469,62.724,1265.3333,2622.6667,52.9333,50.1667,0.6993,0.6461284086040516,NoOps,1
2024-10-05 07:35:42,83.4821,56.1172,26521.3333,2238.6667,50.5667,58.9,1.7643,0.002,NoOps,1
2024-10-05 07:42:39,5.0545,71.0872,1144.0,2060.0,31.8667,39.2333,2.0912,0.6654110310410425,Restart,0
2024-10-05 07:52:44,99.699,75.0547,1212.0,1169.3333,51.2,59.3333,0.988,0.9770625330188517,Rollback,0
2024-10-05 08:02:43,35.0952,71.6641,429.3333,1601.3333,53.7667,53.9667,1.763,0.4241205357693072,Migrate,0
2024-10-05 08:13:18,11.7579,67.5846,1233.3333,2185.3333,56.0333,61.6,1.8846,0.6700626930631239,Restart,1
2024-10-05 08:22:19,68.5916,71.7734,2193.3333,12389.3333,539.0333,605.7667,0.456,0.15514611918609503,Flow-Control,1
2024-10-06 16:26:18,5.5247,77.957,353.3333,1400.0,84.9,83.9,1.7749,1.9913369753367371,Restart,1
2024-10-06 22:49:56,47.4766,52.8906,27672.0,2654.6667,48.2333,51.1,1.0375,0.0019,NoOps,1
2024-10-06 22:56:58,3.551,74.2057,1137.3333,1934.6667,45.0333,56.4667,1.8312,2.181342383763735,Restart,0
2024-10-06 23:08:14,99.8844,74.0052,1053.3333,988.0,19.8667,23.4,1.75,0.40679742290869336,Rollback,1
2024-10-06 23:19:16,9.0354,72.5938,445.3333,1600.0,52.7667,51.8333,0.9729,0.7523893272118874,Migrate,1
2024-10-06 23:30:48,12.2768,68.5273,1146.6667,2121.3333,54.5667,65.1,1.8839,1.0309750585217656,Restart,1
2024-10-06 23:45:19,78.2195,68.9935,1926.6667,10832.0,197.8667,223.4667,0.96,0.4199013966365812,Flow-Control,1
2024-10-11 14:27:45,89.412,58.0078,25550.6667,2488.0,56.1,59.6333,1.2893,0.0019,Rollback,0
2024-10-11 14:37:44,18.1977,65.1862,1237.3333,2133.3333,56.4667,64.2333,2.0821,0.6175847316140557,Restart,1
2024-10-11 14:49:14,99.897,73.4115,921.3333,1925.3333,49.6333,57.2333,0.9314,0.790058941788927,Restart,1
2024-10-11 15:00:53,11.1424,65.7474,420.0,1569.3333,53.5,52.3,0.9531,0.5587327559822363,Restart,1
2024-10-11 15:12:25,11.2435,64.9141,1197.3333,2161.3333,47.8333,55.7333,2.125,0.1796862869670112,Restart,1
2024-10-11 15:26:52,69.8558,69.0898,1794.6667,10097.3333,197.5333,218.1667,0.9,0.577407856688872,Restart,0
2024-10-14 20:57:36,51.9591,74.2682,2444.0,11456.0,179.6667,194.9,0.4816,0.9761059135799638,Flow-Control,0
2024-10-14 21:06:04,95.6604,48.6966,30986.9001,1595.0926,54.0,56.3333,0.8288,0.0015,Rollback,0
2024-10-14 21:17:11,82.6451,54.3607,31961.3333,3810.6667,51.4,54.1667,0.9903,0.0018,Rollback,1
2024-10-14 23:36:58,62.4469,70.2526,2302.6667,12812.0,768.1333,848.7,0.7414,0.34243162944119254,Flow-Control,1
2024-10-15 19:52:47,92.1439,55.2344,22816.0,1800.0,62.0667,68.6,0.9671,0.0019,Restart,0
2024-10-15 20:02:54,10.2912,60.1823,1114.6667,2069.3333,55.1333,60.4333,2.0539,0.6444749777421549,Restart,1
2024-10-15 20:14:32,99.9568,68.8906,986.6667,2034.6667,30.9,36.5667,0.9259,0.9387825150035702,Migrate,1
2024-10-15 20:26:00,8.6911,65.5456,348.0,1413.3333,60.8,55.2667,1.7091,0.7541105618794389,Restart,1
2024-10-15 20:37:51,8.9961,66.8138,1161.2946,2118.596,48.1,54.9333,2.025,0.5793922466905277,Restart,1
2024-10-15 20:52:20,59.8775,71.056,2470.6667,12888.0,397.7667,430.6,0.8372,0.6677429376601483,Flow-Control,1
2024-10-16 18:47:14,69.2838,57.7839,23573.3333,1685.3333,64.3333,68.5667,0.9288,0.002,Rollback,0
2024-10-16 18:57:07,35.9498,64.8229,1140.0,1989.3333,52.4333,59.3,1.63,0.4110184856206103,Restart,1
2024-10-16 19:08:24,100.1103,69.7904,981.3333,2040.0,34.4,40.7,0.975,0.14558778850381437,Restart,1
2024-10-16 19:19:41,14.8894,68.207,454.6667,1501.3333,52.4,51.6667,1.7109,0.5519294614060745,Migrate,1
2024-10-16 19:30:37,15.9118,67.2682,1185.3333,2086.6667,71.1333,82.0333,2.05,0.5630328814594452,Restart,1
2024-10-17 13:21:24,7.0841,60.918,1157.3333,2048.0,46.5333,51.7667,2.02,0.40645275589644536,Restart,1
2024-10-17 14:48:23,99.3645,55.9648,24904.0,3252.0251,11.0667,7.9,1.9362,0.0019,NoOps,1
2024-10-17 14:54:46,95.9426,57.2669,24966.6667,1658.6667,29.9,30.7333,1.1385,0.002,Rollback,1
2024-10-17 15:04:41,6.7993,77.5365,1232.0,2140.0,45.9333,53.4333,1.7625,0.8708715800680853,Restart,1
2024-10-17 15:16:29,100.0169,71.7253,949.3333,1984.0,42.5667,49.0667,0.9885,0.33078156077231774,Migrate,1
2024-10-17 15:28:20,13.2832,66.3424,425.3333,1537.3333,80.7333,80.0,1.8948,0.7042109725598446,Restart,1
2024-10-17 15:39:47,4.5623,67.5807,1190.6667,2080.0,43.3333,46.3667,2.0302,0.5853719456217048,Restart,1
2024-10-17 15:54:17,53.4769,75.2943,2322.6667,13342.6667,544.7333,581.0333,0.4693,0.2523786439486628,Flow-Control,1
2024-10-18 00:33:16,99.6201,56.8724,28532.0,3382.4328,34.4333,39.2667,1.6395,0.0019,NoOps,1
2024-10-18 00:39:56,8.0044,72.2122,1173.3333,2092.0,58.2667,65.9,1.7159,0.5997978515059473,Migrate,1
2024-10-18 00:51:03,99.9441,69.3737,953.3333,2049.3333,39.4667,46.3667,0.9037,0.5042786541694284,Flow-Control,0
