time,cpu,memory,syscall_read,syscall_write,net_receive,net_send,net_latency,run_time,action,success
2024-09-26 19:13:25,9.8355,12.854,5240.0,4698.6667,45.2,35.2333,0.2436,2.947513676884408,NoOps,1
2024-09-26 19:18:23,97.0556,13.7238,47038.6667,45686.6667,288.2667,345.4333,0.8022,2.7997793023514945,Flow-Control,1
2024-09-26 19:30:11,99.9735,24.7711,5393.3333,5010.6667,34.1,27.4667,3.45,2.573665841444932,Restart,1
2024-09-26 19:38:49,7.4281,12.854,4270.6667,3861.3333,26.5333,37.7667,25.0,2.68702135801939,Restart,1
2024-09-26 19:47:17,10.353,5.9082,5604.0,5094.6667,36.5333,33.6667,2.1864,0.0018,Rollback,1
2024-09-26 19:56:22,22.5176,8.0414,3414.6667,3534.6667,22.2,17.6,25.2,0.7053586815063572,Restart,1
2024-09-26 20:04:53,96.512,12.1246,45933.3333,44670.6667,232.0333,278.1667,0.85,0.626310875698764,Flow-Control,1
2024-09-27 02:37:12,11.6043,6.1676,4936.0,4474.6667,22.6333,25.3667,2.2116,0.002,Rollback,1
2024-09-27 02:46:52,8.0917,13.031,4032.0,3697.3333,29.1333,44.0,17.0,1.0768824632671667,Restart,1
2024-09-27 02:55:13,84.0058,18.1335,4780.0,4432.0,33.9,35.2,2.2115,0.9698273338645435,Restart,1
2024-09-27 03:04:19,9.4434,6.2714,5442.6667,4942.6667,22.2,23.8333,2.14,0.002,Rollback,1
2024-09-27 03:13:52,10.3776,7.0068,4297.3333,3896.0,18.0333,30.6,12.0,1.0278374346682186,Migrate,1
2024-09-27 03:22:38,27.169,8.2336,3226.6667,3377.3333,18.6667,18.1667,25.7143,0.8648543592550667,Restart,1
2024-09-27 03:31:41,98.0361,11.554,55622.6667,54413.3333,212.8667,257.2667,0.9146,0.41904098888322705,Flow-Control,1
2024-09-27 15:40:39,69.8388,13.0676,67160.0,66266.6667,249.1333,314.0333,0.9332,1.0548025743113678,Flow-Control,1
2024-09-28 18:07:33,9.3045,6.0211,5450.6667,4909.3333,22.2667,18.4667,2.25,0.002,Rollback,1
2024-09-28 18:16:55,8.0595,13.266,4740.0,4346.6667,18.6667,26.5667,23.0,1.940058295697955,Restart,1
2024-09-28 18:25:39,100.0219,17.3157,5000.0,4590.6667,22.1,17.8333,4.125,1.0486496409002628,Migrate,1
2024-09-28 18:34:45,10.689,6.5765,4158.6667,3829.3333,12.7667,17.9,24.25,1.0195653925676396,Restart,1
2024-09-28 18:43:27,29.7845,7.9193,2934.6667,3025.3333,17.3,17.7667,25.8,0.6462976073704173,Migrate,1
2024-09-28 18:52:37,9.0486,6.5033,4702.6667,4217.3333,24.0,23.0667,0.2454,0.9153377802250379,NoOps,1
2024-09-28 18:59:31,9.8163,6.0913,5437.3333,4998.6667,19.6333,20.9333,2.2,0.002,Rollback,1
2024-09-29 20:50:33,7.7736,6.1249,5633.3333,5108.0,14.1667,15.1333,2.1864,0.002,Rollback,1
2024-09-29 21:00:38,11.7053,6.781,4853.1716,4427.8524,19.9333,34.0333,24.5717,0.4796005287268156,Restart,1
2024-09-29 21:09:34,100.0116,17.6422,4789.3333,4410.6667,19.9,20.1333,2.2188,0.6523405066602879,Restart,1
2024-09-30 10:11:54,9.2601,6.2927,4662.6667,4282.6667,20.1,21.9,2.11,0.0019,Rollback,1
2024-09-30 10:21:59,5.9291,8.8745,4976.0,4532.0,30.1667,62.6333,23.0,2.6549109307682914,Migrate,1
2024-09-30 10:31:04,99.8936,17.3218,4389.3333,4072.0,21.9333,23.7667,2.45,0.994213066205587,Restart,1
2024-09-30 10:39:48,9.3078,7.5867,4853.3333,4500.0,17.0333,29.5333,24.5714,0.5915687156981366,Migrate,1
2024-09-30 10:48:40,28.3172,8.1055,4101.3333,4009.3333,17.2,18.1667,25.6364,0.9941957007107313,Restart,1
2024-09-30 10:57:20,9.3214,6.3934,4400.0,3980.0,20.2333,21.3667,0.275,0.42924231940369595,NoOps,1
2024-09-30 11:03:48,8.9472,6.3324,5110.7802,4604.1023,24.0667,24.6333,2.2,0.002,Rollback,1
2024-09-30 13:35:21,8.8016,6.1707,4886.6667,4405.3333,14.0333,13.5333,2.1864,0.002,Rollback,1
2024-09-30 13:45:14,10.9468,6.5247,4206.6667,3909.3333,21.0667,34.8667,22.6667,0.34076785674610843,Restart,1
2024-09-30 13:53:52,99.8418,19.3481,5478.6667,5056.0,10.8667,11.2333,2.245,0.30089438607195085,Restart,1
2024-09-30 14:02:39,9.9849,7.2205,4178.6667,3870.6667,16.7,28.5667,25.7778,1.1030390872179419,Restart,1
2024-09-30 14:11:27,21.9977,8.0139,3085.3333,3170.6667,17.8333,18.3,25.7505,0.1659807451200475,Migrate,1
2024-09-30 14:20:42,7.5456,6.8024,5570.6667,5014.6667,26.2667,26.6667,0.65,0.4078788582471067,Flow-Control,1
2024-09-30 14:29:52,11.7177,6.3721,4284.0,3906.6667,22.0,21.5667,2.1786,0.002,Rollback,0
2024-09-30 21:58:54,9.855,6.2408,6449.3333,5820.0,19.4,21.1,2.1571,0.0019,Rollback,1
2024-09-30 22:08:59,7.9689,6.7596,4253.3333,3877.3333,12.2333,20.3,24.4,0.8259419339464836,Restart,1
2024-09-30 22:18:17,76.0545,18.9697,4909.3333,4524.0,21.0,20.8,2.2167,0.5337633250867371,Restart,1
2024-09-30 22:27:29,7.7284,6.7932,4284.0,3937.3333,13.2667,25.5667,25.6667,0.9296149983342985,Migrate,1
2024-09-30 22:36:50,24.9393,7.9102,3157.3333,3216.0,14.0,14.5667,26.4444,0.274032563027583,Restart,1
2024-09-30 22:45:55,6.1179,6.7139,5132.0,4645.3333,15.2667,16.9333,0.55,0.8002792448816473,NoOps,1
2024-09-30 22:52:56,5.4226,5.8441,4672.0,4234.6667,18.7333,19.6667,2.2,0.0019,Rollback,0
2024-10-02 02:13:15,10.3045,6.0913,4000.0,3613.3333,21.8333,22.1667,2.0091,0.002,Rollback,1
2024-10-02 02:22:55,9.2938,6.6833,4013.3333,3693.3333,18.9,34.5,16.6667,0.7354437620239139,Restart,1
2024-10-02 02:32:15,99.6813,18.8354,3252.0,2978.6667,17.8333,17.0333,2.0714,0.3661945108087551,Migrate,1
2024-10-02 02:41:18,9.2777,7.1869,4200.0,3826.6667,21.0333,43.2,24.25,0.34350192083535047,Migrate,0
2024-10-02 02:50:24,16.6099,7.3059,2253.3333,2246.6667,22.6,24.2333,19.0,0.6364558881590904,Restart,1
2024-10-02 02:59:29,65.1964,10.6354,69612.3934,67414.0565,255.1333,318.8,0.7765,0.6340897696067994,Flow-Control,1
2024-10-02 03:08:43,8.7483,6.3629,5082.6667,4590.6667,20.3667,22.1333,2.2818,0.002,Rollback,0
2024-10-03 04:11:12,8.1956,6.2531,5718.6667,5209.3333,24.4667,27.1667,2.225,0.002,Rollback,1
2024-10-03 04:21:31,10.3079,6.8542,4638.6667,4326.6667,13.8,21.7333,9.9286,0.248774251141824,Restart,1
2024-10-03 04:30:53,99.8987,25.0885,5052.0,4653.3333,20.4333,20.0333,2.185,1.810665354829943,Restart,1
2024-10-03 04:39:58,8.7149,6.723,4524.0,4202.6667,14.1333,19.2667,20.5,0.9514195333081467,Restart,0
2024-10-03 04:48:55,26.1216,8.0719,3488.0,3682.6667,22.7667,23.8667,27.1251,0.30264901260176547,Restart,1
2024-10-03 04:58:43,93.2014,12.1552,55078.6667,53481.3333,254.9,320.8667,0.8854,0.4246665288864305,Flow-Control,1
2024-10-03 05:07:39,11.9603,6.2439,4960.0,4525.3333,19.8667,21.5,2.2,0.002,Rollback,1
2024-10-05 05:20:37,12.7564,6.2897,5414.6667,4842.6667,23.1,25.2667,2.1893,0.0021,Rollback,1
2024-10-05 05:30:38,8.7467,8.6517,4136.0,3821.3333,19.2667,46.3333,15.0,2.0785754700686185,Migrate,1
2024-10-05 05:40:00,99.8168,18.335,4132.0,3862.6667,21.9333,22.5667,2.1625,0.3109278896480293,Restart,1
2024-10-05 05:49:00,9.2285,6.7505,4194.6667,3856.0,25.3667,45.2,19.5,0.3906118956632948,Restart,1
2024-10-05 05:58:11,24.8496,7.0038,2765.3333,2846.6667,19.0,20.4,26.0,0.3321657196898119,Migrate,1
2024-10-05 06:10:39,10.6213,6.3416,5018.6667,4586.6667,11.3333,12.1333,0.2495,0.7085975975801344,NoOps,1
2024-10-05 06:17:33,8.1495,5.9845,6046.6667,5513.3333,18.1333,19.1,2.1885,0.0019,Rollback,1
2024-10-06 20:34:24,10.907,5.8716,5234.6667,4762.6667,19.9667,22.0333,2.1591,0.002,Rollback,1
2024-10-06 20:44:31,12.351,7.1808,5137.3333,4757.3333,19.0667,31.5,21.6,0.8703191180787749,Restart,1
2024-10-06 20:53:51,99.928,19.7144,4904.0,4508.0,20.7,18.0333,2.35,2.227277982724424,Restart,1
2024-10-06 21:03:51,6.61,6.9305,4425.3333,4058.6667,17.8333,32.7333,20.0,0.7954568254814854,Migrate,1
2024-10-06 21:13:12,27.4704,8.1451,3270.6667,3268.0,20.2333,21.4333,26.3333,0.5700000579075524,Restart,1
2024-10-06 21:25:32,8.4428,6.3995,5966.6667,5418.6667,20.2333,20.9333,0.575,0.31181681620118545,NoOps,1
2024-10-06 21:32:36,11.9113,6.0699,5808.0,5293.3333,27.7,29.8333,2.215,0.002,Rollback,1
2024-10-11 12:14:54,9.8646,6.1829,5193.3333,4649.3333,21.6,23.0,2.1786,0.002,Rollback,1
2024-10-11 12:24:30,8.9142,7.074,4065.3333,3722.6667,16.4333,27.9,25.7144,0.9536608575467285,Restart,1
2024-10-11 12:33:45,100.0635,17.5385,5045.3333,4712.0,8.4,8.8333,2.17,0.36216179902209944,Restart,1
2024-10-11 12:43:00,6.6012,7.6111,4036.0,3697.3333,21.2667,44.7333,23.0,1.07042691656312,Restart,1
2024-10-11 12:52:29,31.1384,7.8308,3661.3333,3768.0,17.6333,18.3667,27.0,0.13599807956699111,Migrate,1
2024-10-11 13:04:30,8.0611,6.0791,5309.3333,4717.3333,18.6333,20.3333,0.25,0.8189542745804704,NoOps,1
2024-10-11 13:11:35,11.0317,5.9204,5109.3333,4630.6667,16.8333,17.7667,2.23,0.002,Rollback,1
2024-10-14 20:32:12,11.8134,6.0822,5990.6667,5484.0,28.5333,30.1,2.2115,0.0019,Rollback,1
2024-10-14 20:40:44,98.7879,13.562,50465.3333,49753.3333,224.3667,281.8,1.6959,3.7026626482792824,Flow-Control,1
2024-10-15 18:10:22,10.6139,6.2592,4873.3333,4458.6667,25.0667,26.4333,2.2545,0.0019,Rollback,1
2024-10-15 18:20:01,9.1959,6.9702,4230.6667,3876.0,22.5,40.4,23.6667,0.4146803835351399,Restart,1
2024-10-15 18:29:08,100.1162,17.7368,5089.3333,4710.6667,33.9333,36.4667,2.225,0.5153095125866584,Migrate,1
2024-10-15 18:38:07,25.8064,7.5348,3209.3333,3308.0,18.3667,19.4333,25.2,0.9717679116288723,Restart,1
2024-10-15 18:47:16,8.4001,8.5236,4741.3333,4374.6667,28.3,54.0,25.1429,1.015124610686599,Restart,1
2024-10-15 18:56:08,60.7085,9.0942,101400.0,82565.3333,592.6333,592.6333,0.0724,0.9460762562016912,Restart,0
2024-10-16 13:59:18,11.3721,6.0822,4654.6667,4196.0,22.3667,23.9,2.2,0.002,Rollback,0
2024-10-16 14:08:58,9.137,6.7871,4506.6667,4233.3333,12.6,18.8667,26.0,0.21429817525484554,Restart,0
2024-10-16 14:18:22,80.3274,30.5939,4604.0,4256.0,30.0,29.5333,2.44,1.441935496575081,Restart,0
2024-10-16 14:27:21,9.2417,6.7596,3996.0,3612.0,19.9,32.9333,25.6,0.4690540004491388,Restart,0
2024-10-16 14:36:19,29.1388,7.8278,2994.6667,3054.6667,19.4667,19.6333,25.6364,0.38520269802284324,Restart,0
2024-10-16 14:48:15,58.5289,9.2987,81616.0,64198.6667,1004.9,989.1333,0.04,0.5396155080706583,NoOps,0
2024-10-16 14:58:32,10.1637,12.3596,4924.0,4510.6667,17.3,17.0,2.455,0.0152,Rollback,0
2024-10-16 16:30:11,13.5742,6.0547,5398.6667,4864.0,20.1,21.9667,2.2115,0.002,Rollback,1
2024-10-16 16:40:13,9.6147,11.8591,4222.6667,3917.3333,31.1667,59.9,9.8333,0.4327089188425799,Restart,1
2024-10-16 16:49:07,100.0683,17.746,5296.0,4964.0,21.7333,22.6,2.245,0.6028666328012137,Migrate,1
2024-10-16 16:58:19,9.4298,6.9092,3652.0,3289.3333,23.9667,42.7,9.7858,0.24175390694731608,Restart,1
2024-10-16 17:07:15,22.5295,7.5287,3228.0,3441.3333,17.3333,18.8667,26.0,1.0824718333146208,Migrate,1
2024-10-16 17:19:20,10.4114,27.4689,2292.0,2222.6667,70.4,63.4,0.0095,0.7652615435674929,NoOps,0
2024-10-16 17:29:30,11.5287,6.2195,5673.3333,5162.6667,19.5,20.5,2.2281,0.002,Rollback,1
2024-10-17 10:53:21,8.9528,6.073,5892.0,5325.3333,15.9667,15.7667,2.2,0.002,Rollback,1
2024-10-17 11:11:30,100.0566,23.7213,4989.3333,4641.3333,34.8333,34.0,2.3071,1.094448702247709,Migrate,1
2024-10-17 11:20:43,16.6667,7.9163,3094.6667,3081.3333,24.3667,25.7,20.0,0.24656241975890594,Restart,1
2024-10-17 11:29:43,6.9506,7.4921,3486.6667,3178.6667,16.2,28.0667,24.4,0.12398477374779247,Restart,1
2024-10-17 16:49:58,9.7419,6.2103,5333.3333,4828.0,12.1,12.6667,2.1875,0.002,Rollback,1
2024-10-17 16:59:47,89.9269,30.2368,3388.0,31700.0,290.5,230.6,0.2108,0.5094041933814946,Flow-Control,1
2024-10-17 17:09:57,7.5821,11.4105,4602.6667,4264.0,20.4667,40.9,24.4,0.7849207251059357,Restart,1
2024-10-17 17:19:02,100.0626,17.6056,5880.0,5442.6667,17.5333,18.0667,2.2273,1.0012956015149765,Migrate,1
2024-10-17 17:28:19,20.6689,10.6964,2618.6667,2724.0,21.7667,23.3,25.0,0.5417339689615519,Restart,1
2024-10-18 02:27:11,10.643,6.2134,5472.0,4982.6667,19.9,20.7667,2.2,0.0018,Migrate,0
2024-10-18 02:40:21,54.4253,27.3743,6196.0,35441.3333,250.8,199.8667,0.0194,0.6143071918583622,Restart,0
2024-10-18 02:51:08,10.1556,17.0502,3542.6667,3246.6667,9.8,17.8333,25.1111,0.8250667151880937,Flow-Control,0
2024-10-18 02:59:49,99.976,28.4088,4297.3333,3986.6667,36.5,39.3667,2.2136,1.0864013639647097,Restart,1
2024-10-18 03:09:07,24.4406,11.8317,3453.3333,3538.6667,18.3667,17.8333,26.9231,1.0778109054107807,Migrate,1
2024-10-18 12:32:44,9.7592,6.0059,5950.6667,5408.0,15.8,15.6333,2.2545,0.0019,Restart,0
2024-10-18 12:45:51,45.4342,27.2064,7117.3333,39741.3333,338.9667,269.5667,0.0228,0.5639585408277005,Restart,0
2024-10-18 12:56:21,8.4725,16.5741,3884.0,3592.0,11.3,18.3333,24.889,0.9193737601489188,Restart,1
2024-10-18 13:05:31,100.048,21.7834,5312.0,4934.6667,15.2333,16.4,2.45,0.4620057994286617,Restart,1
2024-10-18 13:14:44,23.154,7.6447,2716.0,2852.0,12.0333,11.4667,25.75,0.7726300463857764,Restart,1
2024-10-19 18:16:19,10.7783,6.2897,5728.0,5238.6667,19.2,20.2333,2.1786,0.002,Restart,0
2024-10-19 18:29:12,71.0154,10.4706,76244.8352,72986.3247,117.3333,142.8667,0.5273,0.11176163140798763,Restart,0
2024-10-19 18:39:47,6.7124,15.6067,4268.0,3824.0,23.5,36.2,20.5,0.14671349431600256,Restart,1
2024-10-19 18:48:42,100.1558,23.111,4394.6667,4093.3333,30.1,32.3333,2.1438,0.20562835237489213,Restart,1
