time,cpu,memory,syscall_read,syscall_write,net_receive,net_send,net_latency,run_time,action,success
2024-09-24 19:58:11,98.2704,35.2844,0,0,138.7667,99.9333,3.8222,1.047311343607185,Flow-Control,1
2024-09-24 20:08:26,99.8114,35.9589,0,0,71.4333,51.1,4.4144,1.3829813067619423,Flow-Control,1
2024-09-25 18:16:28,46.2211,31.4728,2585.3333,15402.6667,67.7333,54.3667,0.2763,1.5149231746862153,Restart,1
2024-09-25 18:26:10,99.4346,39.6759,2626.6667,14516.0,39.6333,30.1667,2.3856,1.6429203797141199,Migrate,1
2024-09-25 18:34:03,36.7354,28.4729,2830.6667,15041.3333,77.1667,79.5333,0.7975,0.9678538510388774,Migrate,1
2024-09-25 18:41:54,60.7168,19.873,0,0,0,0,4.2167,0.0005,Rollback,1
2024-09-25 19:13:43,83.2429,22.9797,49.2405,619.1507,0,0,8.7414,0.0006,Rollback,1
2024-09-25 19:41:14,78.1958,24.9054,125.3333,1804.376,21.8333,14.5333,6.24,0.0013,NoOps,1
2024-09-25 19:50:08,99.8347,25.1648,109.5932,1752.8525,19.2667,12.7667,8.3679,0.0013,Rollback,1
2024-09-26 00:30:31,97.2198,30.7617,2518.6667,23554.6667,91.5333,71.1,2.3159,0.6445416226571123,Flow-Control,1
2024-09-26 00:46:02,34.4354,30.069,3245.3333,16100.0,103.2667,84.5333,0.0094,0.9115292225710491,NoOps,1
2024-09-26 11:37:26,83.1363,32.6538,2645.3333,28240.0,137.1667,108.1333,2.1573,1.754401082224484,Flow-Control,1
2024-09-26 11:46:36,95.8408,31.2073,2910.6667,24218.6667,147.3333,116.0667,2.1889,1.3433452968339257,Flow-Control,1
2024-09-27 03:40:27,99.8501,24.7833,148.0,2316.0,18.2333,13.1,4.8618,0.0019,Rollback,1
2024-09-27 03:49:28,33.542,29.7333,2546.6667,13198.6667,90.3667,93.3333,0.7927,0.8912157513301769,Restart,1
2024-09-27 03:58:08,100.0545,41.3116,673.2735,7747.3114,29.1333,22.5,3.3281,1.9023187146639868,Restart,1
2024-09-27 04:07:21,74.5856,24.8352,160.0,2509.3333,28.5667,21.8667,8.02,0.0019,Rollback,1
2024-09-27 04:16:36,36.9476,27.356,2090.6667,14465.3333,198.0333,158.3,0.2406,0.7875782664763744,Restart,1
2024-09-27 04:25:12,31.0228,29.4647,2268.0,12369.3333,65.6,68.1667,0.8,0.7754336450560316,Restart,1
2024-09-27 04:33:56,73.0463,28.8849,2410.6667,36996.0,155.2667,125.8,4.2815,0.8012994402031376,Flow-Control,1
2024-09-28 19:08:41,99.7108,24.7131,122.6667,2360.0,21.6667,16.5,7.4472,0.002,Rollback,1
2024-09-28 19:18:24,30.7158,28.2013,2434.6667,12562.6667,78.7667,91.0667,0.7969,2.168022487077336,Restart,0
2024-09-28 19:27:26,85.5509,40.9302,558.6667,6350.6667,15.6,12.1667,8.4286,0.18243719309259174,Migrate,1
2024-09-28 19:36:50,99.8533,24.8871,125.3333,2365.3333,18.0333,13.7667,6.5,0.002,Rollback,1
2024-09-28 19:45:58,30.0533,28.1097,2132.0,14548.0,145.6,126.4667,0.2282,1.03175490942239,Migrate,1
2024-09-28 19:55:15,38.9186,28.1281,2344.0,12434.6667,27.7667,30.1667,0.8182,0.3718365409509129,Restart,1
2024-09-28 20:04:01,41.5235,27.8442,3252.0,16425.3333,134.0667,110.7333,0.039,0.5697960284848728,NoOps,1
2024-09-30 11:13:28,72.8997,25.177,129.3333,2268.0,20.1333,13.7333,6.5484,0.002,Rollback,1
2024-09-30 11:23:13,37.0187,29.0161,2486.6667,12648.0,56.6667,59.0,0.8021,0.526624903109357,Restart,0
2024-09-30 11:32:29,100.0845,41.0278,840.0,9049.3333,26.9,19.1667,4.4386,0.37042805779654375,Restart,1
2024-09-30 11:41:37,47.5586,29.3945,1872.0,14286.6667,114.8333,91.4667,0.3332,2.6709946210655415,Migrate,1
2024-09-30 11:50:45,34.4131,28.9062,2406.6667,12462.6667,36.1333,37.9667,0.8026,0.31138263816378264,Restart,1
2024-09-30 11:59:48,48.9117,27.5269,3094.6667,16605.3333,156.1,122.8,0.0474,1.0078437638116693,NoOps,1
2024-09-30 12:06:33,99.7475,25.0854,102.6667,2193.3333,13.8667,9.6,7.7727,0.002,Rollback,1
2024-09-30 14:39:31,99.9975,25.415,154.6667,2422.6667,10.3333,7.7667,7.6596,0.002,Rollback,1
2024-09-30 14:49:15,38.9436,28.0701,2690.6667,13505.3333,87.4667,93.2667,0.7974,0.6152265024379608,Migrate,1
