time,cpu,memory,syscall_read,syscall_write,net_receive,net_send,net_latency,run_time,action,success
2024/9/26 10:00,33.4164,9.9884,22268.2536,14769.6448,112.4667,152.7667,0,0.0012,Rollback,1
2024/9/26 10:33,0.0354,4.4159,99.5774,84.598,6.8333,4.5333,0,0.0012,NoOps,1
2024/9/26 11:17,0.05,4.3823,3.2282,3.2282,4.7333,3.0333,0,0.0012,NoOps,1
2024/9/26 11:30,11.8856,8.2733,9495.1368,6238.3608,40.1667,47.8333,0,0.0012,Rollback,1
2024/9/27 01:10,11.3506,8.2306,11780,7805.3333,34.5333,40.5667,0,0.0019,Rollback,1
2024/9/27 01:19,10.6848,9.9426,9882.6667,6568,31.7333,64.4333,0,0.7653827,Restart,1
2024/9/27 01:27,99.9568,16.2598,2.6667,2.6667,5,3.3333,0,0.489569176,NoOps,1
2024/9/27 01:34,53.604,20.108,9506.6667,12837.3333,80.3,122.7333,0,1.498877071,Migrate,1
2024/9/27 01:43,14.0443,11.0565,11116,7365.3333,52.9667,87.2667,0,0.407594462,Restart,1
2024/9/27 12:14,99.9082,28.6499,1402.6667,980,26.6333,18.2333,0,0.968627979,Restart,1
2024/9/28 16:39,8.0519,7.6752,5204,3493.3333,30.7667,30.8,0,0.002,Rollback,1
2024/9/28 16:48,12.1395,18.8965,11709.3333,7724,45.5667,117.8667,0,1.790189022,Migrate,1
2024/9/28 16:57,100.002,15.6982,0,0,2.1667,1.5,0,0.432524578,Migrate,1
2024/9/28 17:06,0.0747,4.8553,5.3333,5.3333,6.2667,4.4333,0,0.165189443,NoOps,1
2024/9/28 17:13,20.9474,12.6923,20702.6667,13830.6667,33.2333,57.2,0,1.055644969,Migrate,1
2024/9/30 20:26,2.2656,6.5338,1757.3333,1166.6667,12.8333,12.6667,0,0.0019,Rollback,1
2024/9/30 20:37,13.801,13.2446,11161.3333,7417.3333,32.7667,77.3,0,0.591978806,Restart,1
2024/9/30 20:46,100.1192,16.0248,32,32,5.0333,3.5667,0,0.519899332,NoOps,1
2024/9/30 20:53,51.1875,12.4084,12637.3333,14846.6667,96.8,145.1667,0,0.415883361,Restart,1
2024/9/30 21:02,19.2794,12.0483,14940.664,9981.777,50.1,94.4,0,0.251318691,Restart,1
2024/10/2 00:42,11.3037,8.49,11633.3333,8265.3333,50.9,66.9667,0,0.002,Rollback,1
2024/10/2 00:52,6.087,8.4137,4470.6667,3077.3333,28.9667,56.7667,0,1.089204956,Migrate,1
2024/10/2 01:01,72.2,16.1499,2.6667,2.6667,4.2667,2.9667,0,0.249070958,NoOps,1
2024/10/2 01:08,46.2233,12.9181,10552,12529.3333,63.7667,96.8667,0,1.216650725,Migrate,1
2024/10/2 01:17,18.2257,10.8093,15152,10024,46.1667,95.5333,0,0.948778345,Restart,1
2024/10/3 02:40,4.9219,6.6559,4908,3172,25,30.1667,0,0.002,Rollback,1
2024/10/3 02:50,6.7385,9.201,5996,4005.3333,26.6,56.8667,0,0.318200897,Restart,0
2024/10/3 02:59,100.0029,27.2034,15150.6667,12970.6667,46.8333,68.8,0,1.527181751,Restart,1
2024/10/3 03:08,0.054,4.5685,6.6667,6.6667,4.6667,3.3333,0,0.114129192,NoOps,1
2024/10/3 03:15,17.6856,12.6709,20485.3333,13722.6667,50.9333,96.2,0,0.38063918,Restart,0
2024/10/4 22:54,65.9233,16.2842,8425.3333,12485.3333,68.7333,99.3667,2.3745,1.568828757,Migrate,1
2024/10/4 23:03,100.0177,25.3265,14096,12412,55.6,80.5667,2.2949,1.937977994,Restart,1
2024/10/5 03:38,3.6542,7.0312,3476,2256,20.3667,22.4667,0.4912,0.0019,Rollback,0
2024/10/5 03:48,4.7879,8.3954,3097.3333,2072,18.7667,29.6333,0.41,0.290264952,Restart,1
2024/10/5 03:58,99.9285,16.507,4,4,4.5333,3.1333,0.4359,0.71322812,NoOps,1
2024/10/5 04:04,61.3781,14.2944,11570.6667,13862.6667,107.0333,162.6,2.4604,1.223626341,Migrate,1
2024/10/5 04:13,1.4197,7.1198,1165.3333,776,13.5667,25.3667,0.3805,0.953305566,Restart,1
2024/10/6 18:49,18.0402,8.9111,15757.5659,10396.1781,21.3667,30.3667,1.8022,0.002,Rollback,1
2024/10/6 18:59,15.614,15.2344,12834.6667,8521.3333,0,0,4.5323,2.220137821,Migrate,1
2024/10/6 19:09,100.1494,23.9502,13989.3333,12402.6667,77.8333,117.6333,2.2978,0.605795507,Restart,1
2024/10/6 19:18,67.0893,12.149,13144,14801.3333,80.6,119.3667,2.3475,0.966576709,Restart,1
2024/10/6 19:28,0.0334,5.1575,0,0,4.9333,4.5,0.33,0.985562021,NoOps,1
2024/10/11 10:13,10.9314,7.4005,9977.3333,6656,32.9333,42.9667,1.675,0.002,Rollback,1
2024/10/11 10:31,6.1943,7.2205,7861.3333,5178.6667,29,37,0.9808,0.0019,Rollback,1
2024/10/11 10:41,9.1632,12.0514,11106.6667,7352,35.3667,72.8,3.7941,0.996986337,Restart,1
2024/10/11 10:50,100.1416,16.6626,9.3333,9.3333,5.8333,4.2,0.4125,0.596037881,NoOps,1
2024/10/11 10:57,61.6388,12.6434,7980,11902.6667,89.7333,141.6,3.9118,0.954935422,Restart,1
2024/10/11 11:06,14.8531,11.4075,12993.3333,8741.3333,42.7,82.4,4.6591,0.962937617,Restart,1
2024/10/14 20:09,100.1122,29.7363,10328,7592,45.1,60.2667,2.0909,3.577130437,Migrate,1
2024/10/14 20:23,9.2009,7.4829,8030.6667,5298.6667,30,39.1333,1.28,0.0019,Rollback,1
2024/10/15 16:41,11.0371,7.9071,10086.6667,6738.6667,27.7333,35.9,1.1385,0.0019,Rollback,1
2024/10/15 16:51,12.1081,13.4216,11545.3333,7676,46.2667,125.8,3.7031,0.590587214,Restart,1
