time,cpu,memory,syscall_read,syscall_write,net_receive,net_send,net_latency,run_time,action,success,service
2025-02-21 14:55:17,87.5791,58.6979,1286.6667,1081.3333,46.8,46.6667,0.9889,0.0034,Restart,0,adservice
2025-02-21 15:05:04,4.6958,68.3802,1200.0,2113.3333,59.7333,65.2333,2.2,0.35266430600399723,Migrate,1,adservice
2025-02-21 15:16:27,77.2424,74.3034,830.6667,1834.6667,90.2,104.4,1.51,0.7010871583272413,Restart,1,adservice
2025-02-21 15:27:44,10.4732,73.0026,404.0,1442.6667,44.0667,41.6333,2.2265,0.69924208943735,Restart,1,adservice
2025-02-21 15:38:52,14.8486,65.7917,1162.6667,2120.0,32.0,35.4,2.0875,0.6371270738365832,Rollback,0,adservice
2025-02-21 15:52:59,61.6185,73.0052,2196.0,12744.0,209.5,226.0667,0.9959,0.5281804309009567,Flow-Control,1,adservice
2025-02-21 16:29:20,85.3104,25.8331,146.6667,2493.3333,20.6667,16.0667,4.6694,0.0034,Rollback,1,currencyservice
2025-02-21 16:38:55,35.7723,28.1647,2573.3333,13366.6667,58.5333,61.4333,0.9356,0.3018489662618994,Restart,1,currencyservice
2025-02-21 16:47:47,102.507,39.9475,404.0,4653.3333,8.5667,5.9667,3.4474,0.35181329826286356,Migrate,1,currencyservice
2025-02-21 16:56:35,38.7967,28.5767,2093.3333,14493.3333,118.5667,96.6667,0.1728,0.7694600667136782,Restart,1,currencyservice
2025-02-21 17:05:08,64.9857,27.8961,3260.0,25513.3333,184.8333,140.2333,0.1099,0.5780193887833008,Flow-Control,1,currencyservice
2025-02-21 17:16:44,12.475,7.3517,5624.0,5093.3333,29.9333,32.8667,0.04,0.0034,Rollback,1,checkoutservice
2025-02-21 17:26:11,71.2632,27.2064,4973.3333,32386.6667,139.5667,109.7,0.0193,0.32245246601265465,Flow-Control,0,checkoutservice
2025-02-21 17:51:48,6.4169,11.3281,3693.2102,3451.8849,9.2667,17.9333,5.6667,0.653771948590794,Restart,1,checkoutservice
2025-02-21 18:00:47,103.5682,41.4917,4457.3333,4041.3333,24.5333,25.7333,0.0238,0.7772386373765028,Restart,1,checkoutservice
2025-02-21 18:09:29,27.5881,7.3212,2921.3333,2925.3333,6.3667,6.1333,0.0425,0.21954458832314533,Restart,1,checkoutservice
2025-02-21 18:29:39,9.5219,4.7891,542.6667,1188.0,17.0667,23.9667,0.95,0.2902153996369027,Restart,1,recommendationservice
2025-02-21 18:29:39,9.5219,4.7891,542.6667,1188.0,17.0667,23.9667,0.95,0.2902153996369027,Restart,1,recommendationservice,NoOps,1,recommendationservice
2025-02-21 18:44:55,7.5559,5.1727,512.0,1092.0,15.1,21.9333,0.95,0.44910367579079513,Restart,1,recommendationservice
2025-02-21 18:53:32,9.2782,4.822,532.0,1142.6667,10.4667,12.4,0.95,0.3568588257045783,Restart,1,recommendationservice
2025-02-21 19:04:01,7.5115,4.7014,549.3333,1133.3333,11.9667,12.4333,1.99,0.0034,Restart,0,recommendationservice
2025-02-21 19:13:30,57.0322,5.474,1004.0,4945.3333,74.8333,75.0333,0.701,0.3174246162933655,Flow-Control,1,recommendationservice
2025-02-21 19:34:47,10.3575,9.3384,8840.0,7032.0,68.0333,80.0,13.4,1.180955372904993,Restart,1,productcatalogservice
2025-02-21 19:43:20,100.0176,18.866,18585.3333,16844.0,207.2667,218.4333,0.4992,0.8872996982043695,Restart,1,productcatalogservice
2025-02-21 19:51:55,63.9407,8.844,66644.0,73637.3333,679.3,647.3667,0.4028,0.4664058155135268,Flow-Control,1,productcatalogservice
2025-02-21 20:01:36,82.5016,10.0037,16269.3333,17217.3333,241.6,281.2333,0.4866,0.27259271870207874,Restart,1,productcatalogservice
2025-02-21 20:10:12,7.7658,8.9447,8009.3333,6257.3333,64.6333,75.4,15.5556,0.8782649863902215,Restart,1,productcatalogservice
2025-02-21 20:23:23,83.0962,9.198,17393.3333,18145.3333,213.2667,247.7667,0.4863,0.2353747407354278,Restart,1,productcatalogservice
2025-02-21 20:32:50,11.6656,9.0942,9234.6667,7205.3333,45.9667,50.1333,6.2222,0.36934465632487645,Restart,1,productcatalogservice
2025-02-21 20:44:17,32.0561,7.4036,29176.0,19705.3333,185.1667,189.6,0.7625,0.0034,Restart,0,productcatalogservice
2025-02-21 21:05:55,8.9549,4.7075,545.3333,1142.6667,12.6667,13.6333,1.8925,0.0034,Rollback,1,recommendationservice
2025-02-21 21:17:28,25.6081,7.019,27320.0,18512.0,167.0667,170.9667,0.787,0.0034,Restart,0,productcatalogservice
2025-02-21 23:06:07,9.1207,15.2161,8356.0,5569.3333,23.6333,61.6,0.835,1.1942954929514955,NoOps,0,frontend
2025-02-21 23:16:45,16.8402,9.906,15400.0,10309.3333,79.5333,111.3,0.4333,0.0034,Rollback,1,frontend
