time,cpu,memory,syscall_read,syscall_write,net_receive,net_send,net_latency,run_time,action,success
2024-09-26 23:00:31,76.4854,16.3971,133.3333,238.6667,11.5667,7.7667,2.4667,0.0019,Rollback,1
2024-09-26 23:09:53,2.6382,15.9546,114.6667,253.3333,10.0,11.1333,1.87,0.8533773524782596,Migrate,1
2024-09-26 23:18:26,1.2917,28.2593,88.0,174.6667,7.2333,3.7667,0.925,2.8379731694764545,Restart,1
2024-09-26 23:27:41,2.2222,18.5364,124.0,260.0,10.4667,12.2,1.75,0.8126870156736287,Restart,1
2024-09-28 23:11:51,45.6962,16.1926,141.3333,238.6667,6.2667,4.5667,3.4375,0.002,Rollback,1
2024-09-28 23:21:31,1.2344,28.36,117.3451,253.3587,16.3667,20.1667,1.8786,2.6757195582557873,Migrate,1
2024-09-28 23:30:42,2.6383,19.0308,105.3333,213.3333,5.3333,3.6,1.4,1.0975481399352767,Migrate,1
2024-09-28 23:39:40,1.1435,18.7073,84.0,193.3333,9.1667,12.2333,1.84,0.19168789211189396,Restart,1
2024-09-28 23:48:29,85.0453,28.418,101.3333,213.3333,4.4667,2.8,0.2256,0.3153580381679998,NoOps,1
2024-10-01 03:04:20,49.3613,16.6687,138.6667,234.6667,5.6333,4.4,4.0,0.0019,Rollback,1
2024-10-01 03:14:38,1.3397,26.2268,100.0,213.3333,9.0667,12.8333,1.85,1.2003946836341788,Migrate,1
2024-10-01 03:23:55,2.6572,18.9911,101.3333,209.3333,9.5333,7.2667,0.995,1.061223582733916,Migrate,1
2024-10-01 03:33:12,2.7832,18.4845,102.6667,220.0,7.1333,8.4667,1.8,0.764648625402507,Restart,1
2024-10-01 03:42:20,100.1588,26.6785,118.6667,228.0,4.9667,4.0,0.2267,0.19035484343781844,NoOps,1
2024-10-02 07:34:09,59.5643,16.7023,120.0,221.3333,3.2333,2.4333,3.85,0.002,Rollback,1
2024-10-02 07:44:25,1.4667,26.9928,112.0,260.0,4.0333,6.0667,1.85,0.9867510462920714,Restart,1
2024-10-02 07:53:32,1.3392,15.8417,112.0,206.6667,8.9667,6.7333,2.025,0.258578045092096,Migrate,1
