time,cpu,memory,syscall_read,syscall_write,net_receive,net_send,net_latency,run_time,action,success
2024-09-26 00:22:39,9.7327,9.7504,23840.0,18102.6667,96.9333,111.7333,2.2052,2.0148547150616576,Restart,1
2024-09-26 11:54:23,55.6396,9.2926,50641.3333,39348.0,521.4333,500.1,0.0722,0.6913840372860417,Flow-Control,1
2024-09-26 12:10:15,62.3557,9.6954,61272.0,48568.0,421.4667,406.0667,0.1482,1.5160665063279932,Flow-Control,1
2024-09-26 13:01:50,46.0644,9.6954,45368.0,35974.6667,381.1667,363.1667,0.1707,1.4236222155200353,Flow-Control,1
2024-09-26 13:17:04,48.1899,10.3973,33618.5058,26462.8239,839.7333,814.1,0.2,3.020779928006997,Flow-Control,1
2024-09-26 13:25:55,72.7913,9.6954,128536.0,100282.6667,1103.1,1082.4333,0.1542,0.8294507042200246,Flow-Control,1
2024-09-26 14:45:56,23.486,6.2531,20605.3333,14481.3333,162.1667,160.4667,0.478,0.0019,Rollback,1
2024-09-27 06:51:27,17.7644,6.4819,21624.0,14753.3333,265.5667,261.0667,0.4746,0.0019,Rollback,1
2024-09-27 07:00:30,10.5167,10.3973,9445.3333,7541.3333,110.3,123.7667,2.2641,3.0221691697037003,Restart,1
2024-09-27 07:09:08,100.0137,18.045,15182.6667,13226.6667,130.8,142.2667,0.4265,0.7065917407150183,Restart,1
2024-09-27 07:17:32,84.664,8.7646,105373.3333,85344.0,1871.6667,1875.4,0.0901,0.6594612304997405,Flow-Control,0
2024-09-27 07:26:31,67.4708,10.7117,13497.3333,13165.3333,202.6667,230.9333,0.4287,3.2903701312965072,Restart,1
2024-09-27 07:39:01,100.0543,20.3644,14933.3333,12858.6667,214.5,224.7,0.4351,0.24930634481442404,Restart,1
2024-09-27 07:47:38,56.2256,9.4696,14201.3333,13902.6667,194.7667,216.8,0.4238,0.9867587301608154,Migrate,1
2024-09-27 08:00:46,24.6455,6.72,21125.3333,14345.3333,175.1333,172.2333,0.4814,0.002,Rollback,1
2024-09-28 21:41:15,25.4204,6.8176,27749.3333,18709.3333,144.5667,147.9,0.5578,0.002,Rollback,1
2024-09-28 21:50:34,8.5188,7.312,6366.6667,5124.0,75.3333,84.3667,2.4179,1.0581994846546003,Restart,0
2024-09-28 21:59:47,66.2274,21.6492,20006.6667,17705.3333,142.7333,150.9667,0.4589,2.571419569236392,Migrate,1
2024-09-28 22:09:05,39.3371,7.8918,38329.3333,29049.3333,328.2,320.1667,0.0229,0.7538914613596661,Flow-Control,1
2024-09-28 22:17:41,62.4504,8.0933,16381.3333,17264.0,189.3,218.8667,0.4566,0.9717353054779264,Restart,0
2024-09-28 22:26:21,7.0475,8.0811,7364.0,5753.3333,72.1,80.4333,2.3759,0.4233153044466337,Restart,1
2024-09-28 22:35:10,84.4608,19.046,24842.6667,20696.0,188.2667,200.2667,0.4689,1.005389665484604,Migrate,1
2024-09-28 22:44:36,77.5768,8.6487,22650.6667,20846.6667,305.1,345.5667,0.4684,0.2589169227311333,Restart,1
2024-09-28 22:53:24,8.8027,7.7881,9741.3333,7633.3333,113.1667,121.9667,2.4172,0.9063649121250351,Migrate,1
2024-09-28 23:02:12,22.1371,7.0831,28104.0,18969.3333,254.2,261.5667,0.5719,0.0021,Rollback,1
2024-09-30 12:16:14,31.5453,6.6833,29466.6667,20157.3333,181.4333,185.2,0.5733,0.002,Rollback,1
2024-09-30 12:26:10,8.6191,9.3536,16136.7954,12419.586,33.5667,39.2,2.4045,1.769461807497061,Restart,0
2024-09-30 12:35:22,100.049,19.3268,19821.3333,17397.3333,114.2,125.7667,0.5512,1.0421578212805878,Restart,1
2024-09-30 12:44:05,36.127,8.5785,41452.0,31802.6667,333.3,322.9667,0.0226,0.7616376722043441,NoOps,1
2024-09-30 12:50:46,80.5823,8.1543,17374.6667,17461.3333,254.7,297.1667,0.4655,1.0206758214843894,Restart,0
2024-09-30 13:03:20,99.9252,19.2841,20421.3333,18149.3333,253.9667,275.9333,0.4987,0.8540140996286713,Migrate,1
2024-09-30 13:12:48,73.751,8.5785,21608.0,20624.0,206.0667,246.3,0.4549,0.15087323352735862,Restart,1
2024-09-30 13:25:22,15.3889,6.8329,27382.6667,18618.6667,292.3667,301.6333,0.6044,0.002,Rollback,1
2024-10-01 01:43:31,29.5595,6.6193,28644.0,20033.3333,255.6,260.4,0.637,0.0019,Rollback,1
2024-10-01 01:53:18,11.0099,7.8125,8705.3333,6920.0,101.7333,110.3667,2.3953,0.41861918265520315,Restart,1
2024-10-01 02:02:05,100.0119,19.87,21576.0,18546.6667,223.5333,240.7667,0.4837,0.8718364305559471,Migrate,1
2024-10-01 02:11:05,35.5694,8.3679,37796.0,28508.0,286.4667,279.4333,0.023,0.34914383543125516,NoOps,1
2024-10-01 02:17:47,76.6784,8.5693,16964.0,17269.3333,281.2,325.1333,0.4605,0.9023184583718514,Restart,1
2024-10-01 02:26:56,10.7623,7.3639,9172.0,7208.0,108.9333,122.0,2.4043,0.5499611976561011,Restart,0
2024-10-01 02:40:57,65.7699,8.017,16232.0,16826.6667,237.1667,273.3333,0.4678,0.8934197640642211,Restart,1
2024-10-01 02:54:35,23.2337,6.8604,28765.3333,19728.0,323.3333,330.6333,0.574,0.0019,Rollback,1
2024-10-01 16:31:45,36.5698,8.844,43425.3333,32760.0,326.1333,316.8,0.0238,0.7844518506687117,NoOps,1
2024-10-01 17:10:22,84.9489,9.2468,89957.3333,72588.0,1064.2,1051.4667,0.0929,1.0050319655606217,Flow-Control,1
2024-10-01 17:36:46,72.9111,9.2468,98732.0,78516.0,1431.8,1409.1667,0.0992,1.3996751813409785,Flow-Control,1
2024-10-01 17:54:42,75.5728,9.2468,108220.0,85032.0,773.4333,763.7333,0.0953,1.257162879333525,Flow-Control,1
2024-10-01 21:59:56,77.6152,8.1451,19809.3333,19381.3333,131.7,152.1667,0.4524,0.16797515913428845,Restart,1
2024-10-02 05:59:08,22.8633,6.8298,28838.6667,20178.6667,248.9667,254.5667,0.5822,0.002,Rollback,1
2024-10-02 06:09:18,8.3096,7.4341,7078.6667,5545.3333,43.1,47.2667,2.4035,0.6349871559280962,Restart,0
2024-10-02 06:18:50,100.0822,20.0775,19114.6667,17318.6667,250.6667,271.0667,0.48,0.8045660989106868,Restart,1
2024-10-02 06:28:05,90.4468,9.2133,102030.6667,84586.6667,898.8667,905.9,0.0908,0.9169408772988801,Flow-Control,1
2024-10-02 06:37:19,76.3851,8.9417,18316.0,18012.0,127.7,148.6,0.4642,0.5110019677849023,Restart,0
2024-10-02 06:46:36,10.138,7.6904,14242.6667,11086.6667,80.9,90.6667,2.408,0.6409267273498439,Restart,1
2024-10-02 06:56:31,99.8925,18.8324,22058.6667,19345.3333,238.2667,259.9,0.7073,0.7858873202608126,Migrate,0
2024-10-02 07:05:25,67.1172,7.4799,20014.6667,19636.0,223.6333,259.2333,0.442,0.514397251767698,Migrate,0
2024-10-02 07:14:22,8.2556,7.4921,16349.3333,12696.0,94.8,103.5333,2.4104,0.12534577979608835,Restart,1
2024-10-02 07:24:04,23.1318,6.4789,26613.3333,17942.6667,326.1667,336.4,0.6197,0.002,Rollback,1
2024-10-03 08:02:40,27.7699,6.5979,26369.3333,18993.3333,129.7333,132.3,0.5728,0.0019,Rollback,1
2024-10-03 08:12:26,10.6837,8.3893,8490.6667,6736.0,80.6,90.4,2.4256,0.20631574646523665,Restart,0
2024-10-03 08:21:23,100.0209,18.8507,19176.0,17186.6667,135.2667,146.0667,0.4909,1.0131970574078666,Restart,1
2024-10-03 08:30:21,92.2419,8.4198,97358.6667,78788.0,1017.9,1013.9667,0.0833,0.3463725640774114,Flow-Control,1
2024-10-03 08:39:32,71.6911,9.3262,16880.0,17730.6667,258.1667,304.1,0.4585,0.8135462294329434,Migrate,0
2024-10-03 08:48:53,9.6573,9.6161,14686.6667,11541.3333,77.7,88.1667,2.4201,1.2654694933299004,Restart,0
2024-10-03 08:58:41,99.8925,18.9941,19441.3333,17520.0,272.6667,303.9,0.5049,1.0176349632009998,Restart,1
2024-10-03 09:08:27,49.5587,7.4829,16484.0,17053.3333,183.8667,218.0,0.4647,0.32781671953574687,Migrate,1
2024-10-03 09:18:01,11.9673,8.2855,9796.0,7828.0,53.9667,58.8333,2.4036,0.7799300227997489,Restart,1
2024-10-03 09:27:52,22.9292,6.7474,27614.6667,19657.3333,224.8667,229.8667,0.5286,0.0019,Rollback,0
2024-10-05 09:34:43,30.2684,6.6925,26733.3333,18621.3333,172.9333,175.7333,0.554,0.0021,Rollback,1
2024-10-05 09:44:50,8.2288,9.2896,7196.0,5726.6667,84.0333,102.8,2.4337,2.2247980976798885,Restart,1
2024-10-05 09:54:11,100.1419,18.8354,20044.0,17936.0,198.9,216.3,0.4839,0.8293012623954678,Restart,0
85.8649,8.2672,108562.6667,87716.0,990.7667,994.2667,0.0982,0.31606680332894915,Flow-Control,1
2024-10-05 10:16:16,63.5258,8.9539,18453.3333,18150.6667,146.9,171.0,0.4559,0.4553592811050686,Restart,0
2024-10-05 10:25:09,8.5068,8.9722,6726.6667,5340.0,53.3667,64.2667,2.4019,0.5915395993803995,Migrate,1
2024-10-05 10:34:44,100.0086,18.8599,18181.3333,16308.0,240.5333,271.0333,0.4788,0.750744859050513,Restart,1
2024-10-05 10:44:53,82.6575,8.5693,22574.6667,21026.6667,255.2,297.1667,0.4381,0.7501645852806724,Restart,1
2024-10-05 10:55:06,11.2061,7.6965,10261.3333,8046.6667,67.8667,78.3,2.3916,0.4712581193205404,Restart,1
2024-10-05 11:05:04,25.7292,7.1381,28629.8341,19681.5945,206.4667,210.1667,0.5715,0.0019,Rollback,1
2024-10-07 00:53:34,25.9533,6.6589,28334.6667,19921.3333,83.9667,85.4667,0.6108,0.002,Rollback,1
2024-10-07 01:03:35,9.3502,9.2102,8040.0,6408.0,110.7,134.3,2.4202,2.0193847905077797,Restart,1
