time,cpu,memory,syscall_read,syscall_write,net_receive,net_send,net_latency,run_time,action,success
2024-09-27 00:36:56,1.7338,5.7709,886.6667,1633.3333,12.3333,8.2667,0.8059,0.0018,Rollback,1
2024-09-27 00:46:11,1.9812,8.0811,830.6667,1549.3333,15.0,20.9,0.407,3.2663226622508206,Migrate,1
2024-09-27 00:55:08,6.7366,6.2531,814.6667,1974.6667,13.9,9.4333,0.2841,0.1140976763514307,NoOps,1
2024-09-27 01:01:33,2.8805,6.3538,1012.0,1986.6667,16.8667,17.4333,0.4009,0.42419137794893247,Migrate,1
2024-09-28 16:04:17,1.2161,5.7587,946.6667,1746.6667,10.8667,8.8667,0.7812,0.002,Rollback,1
2024-09-28 16:13:32,1.3458,5.9052,878.6667,1697.3333,11.3667,12.3,0.4056,0.7492777158202886,Migrate,1
2024-09-28 16:22:39,5.1264,5.899,813.3333,1748.0,9.7667,7.5667,0.2239,0.3775851373283241,NoOps,1
2024-09-28 16:29:35,2.3534,7.8094,802.6667,1492.0,5.3667,6.5667,0.4054,1.8631927787355038,Migrate,0
2024-09-30 19:49:57,1.9207,6.1798,825.3333,1477.3333,8.7667,7.4,0.7658,0.0021,Rollback,1
2024-09-30 20:00:13,1.9612,6.4301,765.3333,1445.3333,14.6667,16.5667,0.4074,0.23011943246992,Migrate,1
2024-09-30 20:09:30,6.4188,6.2805,756.0,1704.0,8.7667,7.3667,0.2212,0.8907382388321101,Restart,1
2024-09-30 20:18:15,1.8313,7.3486,793.3333,1461.3333,7.9333,9.8667,0.4932,0.7874949389572955,Restart,1
2024-10-02 00:07:23,0.8422,5.3619,392.0,633.3333,8.2,6.1,0.68,0.002,Rollback,1
2024-10-02 00:17:18,0.7558,6.2775,422.6667,737.3333,8.5333,10.4,0.4175,0.8304346062385736,Restart,1
2024-10-02 00:26:40,1.8397,7.0709,325.3333,582.6667,5.8,4.4333,0.2221,0.2580656046113823,NoOps,1
2024-10-02 00:33:17,0.842,6.3049,368.0,616.0,7.8,10.1333,0.4114,0.658036971956117,Restart,1
2024-10-03 02:02:51,1.2228,6.0364,1032.0,1842.6667,7.0667,5.8667,0.7344,0.002,Rollback,1
2024-10-03 02:12:53,1.1637,7.8766,738.6667,1357.3333,14.4,21.0,0.8023,1.7105815633466026,Migrate,1
2024-10-04 23:47:30,99.9758,19.6747,913.3333,1532.0,10.3333,8.3,0.0902,1.4876340643088974,NoOps,1
2024-10-05 02:46:39,2.4273,5.7892,944.0,1701.3333,8.7,7.2,0.79,0.0019,Rollback,1
2024-10-05 02:56:54,1.7153,8.7952,769.3333,1460.0,10.5333,13.8667,0.7937,2.4138801286602933,Restart,1
2024-10-05 03:06:22,4.0087,6.6254,601.3333,1677.3333,9.4667,7.6,0.913,0.3575411747721057,Restart,1
2024-10-05 03:16:04,2.077,6.0974,813.3333,1561.3333,9.1,10.5333,0.4,0.5743416319250628,Restart,0
2024-10-05 03:26:04,8.0397,6.9031,2116.0,12258.6667,27.1333,15.7,0.0158,0.19723121153253703,Flow-Control,0
2024-10-06 18:02:19,1.767,6.0852,842.6667,1561.3333,9.1,7.1,0.778,0.0021,Rollback,1
2024-10-06 18:12:06,1.6627,7.663,746.6667,1413.3333,17.0667,32.4,0.4066,2.2187431141430074,Migrate,1
2024-10-06 18:21:36,5.5642,6.5918,441.3333,1294.6667,9.1,7.8667,1.4714,0.5446312497973492,Restart,1
2024-10-06 18:30:43,1.7395,6.2866,877.3333,1593.3333,7.9667,9.7333,0.4054,0.1449896432373655,Restart,1
2024-10-06 18:42:43,8.0178,6.3965,2036.0,12254.6667,27.7333,15.0333,0.0098,0.4924228741420321,NoOps,1
2024-10-10 21:34:50,2.2722,5.6885,952.0,1721.3333,9.5333,8.6,0.7321,0.0021,Rollback,1
2024-10-10 21:44:29,1.4717,7.8033,882.6667,1622.6667,5.6667,6.0,0.4095,1.3004010645161335,Restart,1
2024-10-10 21:53:49,5.1343,6.3904,492.0,1414.6667,7.4667,6.0333,0.9458,0.9015259042807724,Restart,1
2024-10-10 22:03:24,1.6267,6.6528,786.6667,1452.0,8.4333,10.4,0.4034,0.46244675911839483,Restart,1
2024-10-10 22:15:25,6.5002,6.5704,2350.6667,12714.6667,13.2,7.3667,0.0085,0.9855713609660849,NoOps,1
2024-10-11 20:49:53,1.7697,6.1005,848.0,1562.6667,10.9333,9.0,0.8214,0.002,Rollback,1
2024-10-11 21:00:04,1.6738,7.3639,873.3333,1573.3333,10.3333,13.9333,0.3974,1.2093762296631188,Restart,1
2024-10-11 21:09:35,5.1395,6.1584,610.6667,1529.3333,8.1,6.5,0.9268,0.505196503038116,Restart,1
2024-10-11 21:19:15,2.2869,6.3873,806.6667,1482.6667,5.1667,5.8667,0.4037,0.7328597480925984,Restart,1
2024-10-11 21:31:28,1.5466,6.2622,890.6667,1748.0,7.9667,5.1667,0.0139,0.8365153334262707,NoOps,1
2024-10-15 00:27:02,4.0192,5.5237,954.6667,1829.3333,9.0,7.0,0.8115,0.0018,Rollback,1
2024-10-15 00:37:01,2.0492,7.7728,782.6667,1518.6667,9.8333,6.4333,0.0097,3.740767969888777,NoOps,1
2024-10-15 10:53:39,16.1266,9.0759,2614.6667,26870.6667,32.5,14.6,0.0231,1.398257739463923,NoOps,1
2024-10-15 11:15:04,16.8849,7.8613,2562.6667,26381.3333,21.8333,9.6333,0.0311,0.6938753792144746,NoOps,1
2024-10-15 14:29:59,16.9214,8.4442,2156.0,19641.3333,46.0,23.7333,0.0617,0.6085258140933257,Flow-Control,1
2024-10-15 14:46:26,13.414,8.847,2128.0,15720.0,37.6667,18.7,0.0196,0.8839444846411456,Flow-Control,1
2024-10-15 23:49:39,1.6586,6.1005,976.0,1820.0,9.0,7.4667,0.7875,0.002,Restart,0
2024-10-15 23:59:30,1.4861,5.9906,864.0,1672.0,10.5667,11.7,0.4038,0.8369735860595195,Restart,1
2024-10-16 00:08:49,5.5181,8.9478,508.0,1417.3333,5.6,4.5,0.98,1.0208105521191844,Restart,1
2024-10-16 00:17:46,1.6234,6.2653,760.0,1532.0,14.0333,15.9667,0.3938,0.8527382650403872,Restart,1
2024-10-16 00:26:42,8.4563,7.1564,2604.0,20412.0,32.9,15.8333,0.0234,0.22081735364705696,NoOps,1
2024-10-16 22:49:45,2.7815,5.7465,1005.3333,1802.6667,9.1333,8.0667,0.7917,0.0021,Rollback,1
2024-10-16 23:20:28,1.9725,6.665,790.6667,1524.0,6.1,6.7667,0.3895,0.34854962195083034,Restart,1
2024-10-16 23:29:28,4.7035,6.2042,465.3333,1526.6667,7.6,5.7333,1.61,0.9647838086378847,Restart,1
2024-10-16 23:38:47,1.7026,6.2073,896.0,1677.3333,10.6,11.5667,0.407,1.0186785611764047,Migrate,1
2024-10-16 23:51:02,13.6679,7.3029,2946.6667,20646.6667,32.5667,16.3,0.0201,0.9463491283492155,Flow-Control,1
2024-10-17 08:35:57,2.2002,5.8075,925.3333,1680.0,15.7333,12.6,0.7739,0.0019,Rollback,1
2024-10-17 08:45:54,1.2918,7.9224,878.6667,1644.0,12.5667,15.2,0.7636,1.3344145483773175,Restart,1
2024-10-17 08:54:43,4.7558,6.1035,462.6667,1712.0,8.6667,6.7333,1.5294,0.8910273522053924,Restart,1
2024-10-17 09:03:55,1.7035,6.1676,861.3333,1638.6667,17.4,20.9667,0.4075,0.6888650911406787,NoOps,0
2024-10-17 09:12:34,9.3497,7.0526,2764.0,20534.6667,48.9,24.0,0.0185,0.526866711346021,Flow-Control,1
2024-10-17 23:28:21,2.41,5.6305,874.6667,1589.3333,11.2,8.7,0.7472,0.002,Rollback,1
2024-10-17 23:38:06,1.3604,6.2836,808.0,1536.0,15.1,20.9,0.4055,1.098966117876413,Restart,1
